Generating contour dataset: liber-alleluias
Contours of alleluias from the Liber Usualis in GregoBaseCorpus v0.3
NumExpr defaulting to 4 threads.
Number of chants in the liber usualis: 2156
Number of alleluias: 706
Number of alleluias in the Liber Usualis: 125
Extracted 11 contours from 00001.gabc
Extracted 11 contours from 00032.gabc
Extracted 10 contours from 00057.gabc
Extracted 14 contours from 00077.gabc
Extracted 06 contours from 00096.gabc
Extracted 09 contours from 00099.gabc
Extracted 09 contours from 00106.gabc
Extracted 14 contours from 00107.gabc
Extracted 12 contours from 00120.gabc
Extracted 17 contours from 00127.gabc
Extracted 09 contours from 00130.gabc
Extracted 10 contours from 00167.gabc
Extracted 12 contours from 00181.gabc
Extracted 07 contours from 00194.gabc
Extracted 14 contours from 00198.gabc
Extracted 18 contours from 00213.gabc
Extracted 08 contours from 00216.gabc
Extracted 15 contours from 00224.gabc
Extracted 07 contours from 00225.gabc
Extracted 07 contours from 00228.gabc
Extracted 11 contours from 00231.gabc
Extracted 10 contours from 00237.gabc
Extracted 15 contours from 00239.gabc
Extracted 16 contours from 00270.gabc
Extracted 14 contours from 00275.gabc
Extracted 10 contours from 00281.gabc
Extracted 14 contours from 00289.gabc
Extracted 09 contours from 00292.gabc
Extracted 16 contours from 00301.gabc
Extracted 12 contours from 00314.gabc
Extracted 10 contours from 00315.gabc
Extracted 10 contours from 00324.gabc
Extracted 17 contours from 00331.gabc
Extracted 11 contours from 00334.gabc
Extracted 05 contours from 00354.gabc
Extracted 08 contours from 00405.gabc
Extracted 14 contours from 00420.gabc
Extracted 18 contours from 00429.gabc
Extracted 08 contours from 00442.gabc
Extracted 17 contours from 00446.gabc
Extracted 09 contours from 00466.gabc
Extracted 09 contours from 00467.gabc
Extracted 14 contours from 00473.gabc
Extracted 11 contours from 00476.gabc
Extracted 13 contours from 00481.gabc
Extracted 07 contours from 00528.gabc
Extracted 14 contours from 00550.gabc
Extracted 09 contours from 00561.gabc
Extracted 09 contours from 00569.gabc
Extracted 12 contours from 00580.gabc
Extracted 10 contours from 00594.gabc
Extracted 09 contours from 00595.gabc
Extracted 10 contours from 00627.gabc
Extracted 09 contours from 00633.gabc
Extracted 12 contours from 00634.gabc
Extracted 11 contours from 00642.gabc
Extracted 08 contours from 00661.gabc
Extracted 09 contours from 00664.gabc
Extracted 15 contours from 00706.gabc
Extracted 15 contours from 00709.gabc
Extracted 10 contours from 00714.gabc
Extracted 10 contours from 00717.gabc
Extracted 15 contours from 00727.gabc
Extracted 10 contours from 00734.gabc
Extracted 16 contours from 00745.gabc
Extracted 13 contours from 00746.gabc
Extracted 15 contours from 00762.gabc
Extracted 10 contours from 00784.gabc
Extracted 16 contours from 00792.gabc
Extracted 12 contours from 00797.gabc
Extracted 12 contours from 00801.gabc
Extracted 17 contours from 00814.gabc
Extracted 10 contours from 00821.gabc
Extracted 10 contours from 00847.gabc
Extracted 09 contours from 00853.gabc
Extracted 08 contours from 00855.gabc
Extracted 13 contours from 00859.gabc
Extracted 16 contours from 00863.gabc
Extracted 12 contours from 00881.gabc
Extracted 10 contours from 00890.gabc
Extracted 10 contours from 00912.gabc
Extracted 09 contours from 00914.gabc
Extracted 09 contours from 00960.gabc
Extracted 18 contours from 00984.gabc
Extracted 16 contours from 00988.gabc
Extracted 12 contours from 01015.gabc
Extracted 11 contours from 01017.gabc
Extracted 19 contours from 01030.gabc
Extracted 10 contours from 01038.gabc
Extracted 15 contours from 01040.gabc
Extracted 10 contours from 01042.gabc
Extracted 11 contours from 01057.gabc
Extracted 10 contours from 01073.gabc
Extracted 10 contours from 01076.gabc
Extracted 13 contours from 01077.gabc
Extracted 21 contours from 01094.gabc
Extracted 17 contours from 01097.gabc
Extracted 10 contours from 01101.gabc
Extracted 12 contours from 01103.gabc
Extracted 13 contours from 01114.gabc
Extracted 09 contours from 01115.gabc
Extracted 13 contours from 01122.gabc
Extracted 13 contours from 01124.gabc
Extracted 11 contours from 01162.gabc
Extracted 14 contours from 01170.gabc
Extracted 16 contours from 01189.gabc
Extracted 10 contours from 01192.gabc
Extracted 15 contours from 01200.gabc
Extracted 12 contours from 01209.gabc
