Generating contour dataset: liber-antiphons
Contours of antiphons from the Liber Usualis in GregoBaseCorpus v0.3
NumExpr defaulting to 4 threads.
Number of chants in the liber usualis: 2156
Number of antiphons: 3818
Number of antiphons in the Liber Usualis: 1036
Extracted 08 contours from 00030.gabc
Extracted 14 contours from 00046.gabc
Extracted 10 contours from 00142.gabc
Extracted 04 contours from 00173.gabc
Extracted 10 contours from 00247.gabc
Extracted 05 contours from 00279.gabc
Extracted 13 contours from 00291.gabc
Extracted 10 contours from 00313.gabc
Extracted 10 contours from 00428.gabc
Extracted 12 contours from 00497.gabc
Extracted 08 contours from 00504.gabc
Extracted 10 contours from 00517.gabc
Extracted 03 contours from 00532.gabc
Extracted 09 contours from 00649.gabc
Extracted 11 contours from 00736.gabc
Extracted 06 contours from 00770.gabc
Extracted 04 contours from 00905.gabc
Extracted 05 contours from 00935.gabc
Extracted 06 contours from 00940.gabc
Extracted 17 contours from 00958.gabc
Extracted 25 contours from 01013.gabc
Extracted 15 contours from 01051.gabc
Extracted 02 contours from 01068.gabc
Extracted 06 contours from 01092.gabc
Extracted 08 contours from 01155.gabc
Extracted 10 contours from 01208.gabc
Extracted 08 contours from 01215.gabc
Extracted 03 contours from 01238.gabc
Extracted 06 contours from 01242.gabc
Extracted 07 contours from 01252.gabc
Extracted 17 contours from 01311.gabc
Extracted 08 contours from 01312.gabc
Extracted 05 contours from 01335.gabc
Extracted 04 contours from 01358.gabc
Extracted 05 contours from 01820.gabc
Extracted 04 contours from 01821.gabc
Extracted 04 contours from 01822.gabc
Extracted 06 contours from 01823.gabc
Extracted 02 contours from 01824.gabc
Extracted 04 contours from 01826.gabc
Extracted 03 contours from 01827.gabc
Extracted 05 contours from 01828.gabc
Extracted 04 contours from 01829.gabc
Extracted 04 contours from 01831.gabc
Extracted 04 contours from 01832.gabc
Extracted 06 contours from 01833.gabc
Extracted 07 contours from 01834.gabc
Extracted 04 contours from 01835.gabc
Extracted 07 contours from 01838.gabc
Extracted 06 contours from 01839.gabc
Extracted 04 contours from 01840.gabc
Extracted 04 contours from 01842.gabc
Extracted 05 contours from 01844.gabc
Extracted 02 contours from 01846.gabc
Extracted 07 contours from 01847.gabc
Extracted 02 contours from 01848.gabc
Extracted 05 contours from 01849.gabc
Extracted 06 contours from 01850.gabc
Extracted 12 contours from 01851.gabc
Extracted 06 contours from 01852.gabc
Extracted 04 contours from 01853.gabc
Extracted 04 contours from 01854.gabc
Extracted 02 contours from 01855.gabc
Extracted 05 contours from 01856.gabc
Extracted 03 contours from 01857.gabc
Extracted 05 contours from 01858.gabc
Extracted 05 contours from 01859.gabc
Extracted 04 contours from 01861.gabc
Extracted 14 contours from 01862.gabc
Extracted 05 contours from 01863.gabc
Extracted 02 contours from 01864.gabc
Extracted 05 contours from 01865.gabc
Extracted 03 contours from 01866.gabc
Extracted 02 contours from 01867.gabc
Extracted 04 contours from 01868.gabc
Extracted 06 contours from 01869.gabc
Extracted 02 contours from 01870.gabc
Extracted 07 contours from 01871.gabc
Extracted 03 contours from 01872.gabc
Extracted 02 contours from 01873.gabc
Extracted 04 contours from 01874.gabc
Extracted 02 contours from 01875.gabc
Extracted 04 contours from 01876.gabc
Extracted 04 contours from 01877.gabc
Extracted 04 contours from 01878.gabc
Extracted 03 contours from 01879.gabc
Extracted 04 contours from 01880.gabc
Extracted 06 contours from 01881.gabc
Extracted 02 contours from 01882.gabc
Extracted 04 contours from 01883.gabc
Extracted 03 contours from 01884.gabc
Extracted 07 contours from 01885.gabc
Extracted 04 contours from 01886.gabc
Extracted 02 contours from 01887.gabc
Extracted 05 contours from 01888.gabc
Extracted 04 contours from 01889.gabc
Extracted 04 contours from 01890.gabc
Extracted 03 contours from 01891.gabc
Extracted 03 contours from 01892.gabc
Extracted 03 contours from 01893.gabc
Extracted 02 contours from 01894.gabc
Extracted 05 contours from 01895.gabc
Extracted 02 contours from 01896.gabc
Extracted 02 contours from 01897.gabc
Extracted 03 contours from 01898.gabc
Extracted 02 contours from 01899.gabc
Extracted 06 contours from 01901.gabc
Extracted 05 contours from 01902.gabc
Extracted 05 contours from 01903.gabc
Extracted 04 contours from 01904.gabc
Extracted 04 contours from 01906.gabc
Extracted 13 contours from 01907.gabc
Extracted 07 contours from 01908.gabc
Extracted 02 contours from 01909.gabc
Extracted 04 contours from 01910.gabc
Extracted 07 contours from 01912.gabc
Extracted 05 contours from 01914.gabc
Extracted 05 contours from 01915.gabc
Extracted 07 contours from 01916.gabc
Extracted 12 contours from 01918.gabc
Extracted 08 contours from 01920.gabc
Extracted 03 contours from 01921.gabc
Extracted 02 contours from 01922.gabc
Extracted 04 contours from 01923.gabc
Extracted 02 contours from 01925.gabc
Extracted 03 contours from 01926.gabc
Extracted 05 contours from 01927.gabc
Extracted 07 contours from 01928.gabc
Extracted 05 contours from 01929.gabc
Extracted 06 contours from 01930.gabc
Extracted 07 contours from 01931.gabc
Extracted 07 contours from 01932.gabc
Extracted 05 contours from 01933.gabc
Extracted 07 contours from 01934.gabc
Extracted 06 contours from 01935.gabc
Extracted 02 contours from 01936.gabc
Extracted 03 contours from 01937.gabc
Extracted 02 contours from 01938.gabc
Extracted 05 contours from 01939.gabc
Extracted 05 contours from 01940.gabc
Extracted 04 contours from 01941.gabc
Extracted 02 contours from 01942.gabc
Extracted 04 contours from 01943.gabc
Extracted 04 contours from 01944.gabc
Extracted 03 contours from 01945.gabc
Extracted 05 contours from 01946.gabc
Extracted 04 contours from 01947.gabc
Extracted 04 contours from 01948.gabc
Extracted 04 contours from 01949.gabc
Extracted 04 contours from 01950.gabc
Extracted 02 contours from 01951.gabc
Extracted 06 contours from 01952.gabc
Extracted 06 contours from 01953.gabc
Extracted 04 contours from 01954.gabc
Extracted 05 contours from 01955.gabc
Extracted 05 contours from 01956.gabc
Extracted 04 contours from 01957.gabc
Extracted 07 contours from 01958.gabc
Extracted 05 contours from 01959.gabc
Extracted 04 contours from 01960.gabc
Extracted 04 contours from 01961.gabc
Extracted 03 contours from 01962.gabc
Extracted 03 contours from 01965.gabc
Extracted 05 contours from 01966.gabc
Extracted 03 contours from 01967.gabc
Extracted 06 contours from 01968.gabc
Extracted 03 contours from 01969.gabc
Extracted 06 contours from 01970.gabc
Extracted 04 contours from 01971.gabc
Extracted 03 contours from 01972.gabc
Extracted 03 contours from 01973.gabc
Extracted 04 contours from 01974.gabc
Extracted 05 contours from 01975.gabc
Extracted 14 contours from 01976.gabc
Extracted 07 contours from 01977.gabc
Extracted 08 contours from 01979.gabc
Extracted 05 contours from 01980.gabc
Extracted 04 contours from 01981.gabc
Extracted 04 contours from 01982.gabc
Extracted 09 contours from 01983.gabc
Extracted 03 contours from 01984.gabc
Extracted 12 contours from 01985.gabc
Extracted 07 contours from 01987.gabc
Extracted 02 contours from 01989.gabc
Extracted 04 contours from 01990.gabc
Extracted 14 contours from 01991.gabc
Extracted 04 contours from 01992.gabc
Extracted 06 contours from 01993.gabc
Extracted 03 contours from 01994.gabc
Extracted 05 contours from 01995.gabc
Extracted 03 contours from 01996.gabc
Extracted 04 contours from 01997.gabc
Extracted 04 contours from 01998.gabc
Extracted 07 contours from 01999.gabc
Extracted 05 contours from 02000.gabc
Extracted 04 contours from 02001.gabc
Extracted 04 contours from 02002.gabc
Extracted 03 contours from 02004.gabc
Extracted 05 contours from 02005.gabc
Extracted 06 contours from 02007.gabc
Extracted 06 contours from 02008.gabc
Extracted 05 contours from 02009.gabc
Extracted 06 contours from 02010.gabc
Extracted 02 contours from 02011.gabc
Extracted 04 contours from 02012.gabc
Extracted 03 contours from 02013.gabc
Extracted 03 contours from 02015.gabc
Extracted 04 contours from 02016.gabc
Extracted 03 contours from 02017.gabc
Extracted 04 contours from 02019.gabc
Extracted 02 contours from 02020.gabc
Extracted 02 contours from 02022.gabc
Extracted 06 contours from 02023.gabc
Extracted 02 contours from 02025.gabc
Extracted 04 contours from 02027.gabc
Extracted 05 contours from 02029.gabc
Extracted 04 contours from 02030.gabc
Extracted 03 contours from 02031.gabc
Extracted 02 contours from 02032.gabc
Extracted 02 contours from 02033.gabc
