Generating contour dataset: liber-responsories
Contours of responsories from the Liber Usualis in GregoBaseCorpus v0.3
NumExpr defaulting to 4 threads.
Number of chants in the liber usualis: 2156
Number of responsories: 501
Number of responsories in the Liber Usualis: 187
Extracted 25 contours from 00376.gabc
Extracted 16 contours from 00513.gabc
Extracted 12 contours from 00606.gabc
Extracted 05 contours from 00694.gabc
Extracted 04 contours from 00716.gabc
Extracted 04 contours from 00753.gabc
Extracted 05 contours from 01065.gabc
Extracted 19 contours from 01152.gabc
Extracted 09 contours from 03016.gabc
Extracted 15 contours from 03026.gabc
Extracted 06 contours from 03049.gabc
Extracted 11 contours from 03050.gabc
Extracted 17 contours from 03051.gabc
Extracted 06 contours from 03052.gabc
Extracted 10 contours from 03053.gabc
Extracted 06 contours from 03054.gabc
Extracted 05 contours from 03055.gabc
Extracted 12 contours from 03056.gabc
Extracted 05 contours from 03057.gabc
Extracted 57 contours from 03058.gabc
Extracted 08 contours from 03059.gabc
Extracted 08 contours from 03060.gabc
Extracted 07 contours from 03061.gabc
Extracted 05 contours from 03062.gabc
Extracted 11 contours from 03063.gabc
Extracted 07 contours from 03064.gabc
Extracted 05 contours from 03065.gabc
Extracted 08 contours from 03066.gabc
Extracted 06 contours from 03067.gabc
Extracted 12 contours from 03068.gabc
Extracted 05 contours from 03069.gabc
Extracted 07 contours from 03070.gabc
Extracted 06 contours from 03071.gabc
Extracted 08 contours from 03072.gabc
Extracted 05 contours from 03073.gabc
Skipping 03074: A contour should have at least three pitches
Extracted 17 contours from 03075.gabc
Extracted 10 contours from 03076.gabc
Extracted 12 contours from 03077.gabc
Extracted 11 contours from 03078.gabc
Extracted 06 contours from 03079.gabc
Extracted 06 contours from 03080.gabc
Extracted 05 contours from 03081.gabc
Extracted 10 contours from 03082.gabc
Extracted 08 contours from 03083.gabc
Extracted 05 contours from 03084.gabc
Extracted 08 contours from 03085.gabc
Extracted 05 contours from 03086.gabc
Extracted 11 contours from 03087.gabc
Extracted 04 contours from 03088.gabc
Extracted 07 contours from 03089.gabc
Extracted 10 contours from 03090.gabc
Extracted 06 contours from 03091.gabc
Extracted 06 contours from 03093.gabc
Skipping 03094: 
Extracted 04 contours from 03095.gabc
Extracted 05 contours from 03096.gabc
Extracted 05 contours from 03097.gabc
Extracted 11 contours from 03098.gabc
Extracted 06 contours from 03099.gabc
Extracted 05 contours from 03100.gabc
Extracted 04 contours from 03101.gabc
Extracted 09 contours from 03102.gabc
Extracted 04 contours from 03103.gabc
Extracted 04 contours from 03104.gabc
Extracted 10 contours from 03105.gabc
Extracted 13 contours from 03106.gabc
Extracted 06 contours from 03107.gabc
Extracted 07 contours from 03108.gabc
Extracted 05 contours from 03109.gabc
Extracted 05 contours from 03111.gabc
Extracted 12 contours from 03112.gabc
Extracted 05 contours from 03113.gabc
Extracted 05 contours from 03114.gabc
Extracted 05 contours from 03115.gabc
Extracted 06 contours from 03116.gabc
Extracted 05 contours from 03117.gabc
Extracted 07 contours from 03118.gabc
Extracted 08 contours from 03119.gabc
Extracted 12 contours from 03120.gabc
Extracted 06 contours from 03121.gabc
Extracted 07 contours from 03122.gabc
Extracted 08 contours from 03123.gabc
Extracted 12 contours from 03124.gabc
Extracted 06 contours from 03125.gabc
Extracted 05 contours from 03126.gabc
Extracted 11 contours from 03127.gabc
Extracted 06 contours from 03128.gabc
Extracted 10 contours from 03129.gabc
Extracted 18 contours from 03130.gabc
Extracted 05 contours from 03131.gabc
Extracted 04 contours from 03132.gabc
Extracted 12 contours from 03133.gabc
Extracted 13 contours from 03134.gabc
Extracted 05 contours from 03135.gabc
Extracted 15 contours from 03136.gabc
Extracted 07 contours from 03137.gabc
Extracted 16 contours from 03139.gabc
Extracted 05 contours from 03140.gabc
Extracted 06 contours from 03141.gabc
Extracted 09 contours from 03142.gabc
Extracted 05 contours from 03143.gabc
Extracted 16 contours from 03144.gabc
Extracted 08 contours from 03145.gabc
Extracted 05 contours from 03146.gabc
Extracted 08 contours from 03147.gabc
Extracted 10 contours from 03148.gabc
Extracted 13 contours from 03149.gabc
Extracted 16 contours from 03150.gabc
Extracted 08 contours from 03152.gabc
Extracted 10 contours from 03153.gabc
Extracted 05 contours from 03154.gabc
Extracted 14 contours from 03155.gabc
Extracted 12 contours from 03156.gabc
Extracted 07 contours from 03157.gabc
Extracted 06 contours from 03158.gabc
Extracted 07 contours from 03159.gabc
Extracted 05 contours from 03160.gabc
Extracted 06 contours from 03161.gabc
Extracted 05 contours from 03162.gabc
Extracted 12 contours from 03163.gabc
Extracted 16 contours from 03164.gabc
Extracted 07 contours from 03165.gabc
Extracted 05 contours from 03166.gabc
Extracted 09 contours from 03167.gabc
Extracted 07 contours from 03168.gabc
Extracted 12 contours from 03169.gabc
Extracted 12 contours from 03170.gabc
Extracted 17 contours from 03171.gabc
Extracted 05 contours from 03172.gabc
Extracted 07 contours from 03173.gabc
Extracted 08 contours from 03174.gabc
Extracted 07 contours from 03175.gabc
Extracted 05 contours from 03176.gabc
Extracted 36 contours from 03177.gabc
Extracted 20 contours from 03178.gabc
Extracted 05 contours from 03179.gabc
Extracted 07 contours from 03181.gabc
Extracted 06 contours from 03182.gabc
Extracted 11 contours from 03183.gabc
Extracted 08 contours from 03184.gabc
Extracted 12 contours from 03185.gabc
Extracted 07 contours from 03186.gabc
Extracted 07 contours from 03187.gabc
Extracted 05 contours from 03188.gabc
Extracted 13 contours from 03189.gabc
Extracted 10 contours from 03190.gabc
Extracted 05 contours from 03191.gabc
Extracted 11 contours from 03192.gabc
Extracted 05 contours from 03193.gabc
Extracted 07 contours from 03194.gabc
Extracted 15 contours from 03195.gabc
Extracted 05 contours from 03196.gabc
Skipping 03197: A contour should have at least three pitches
Extracted 06 contours from 03198.gabc
Extracted 05 contours from 03199.gabc
Skipping 03200: A contour should have at least three pitches
Extracted 06 contours from 03201.gabc
Extracted 04 contours from 03202.gabc
Extracted 07 contours from 03203.gabc
Extracted 12 contours from 03205.gabc
Extracted 06 contours from 03206.gabc
Extracted 10 contours from 03207.gabc
Extracted 07 contours from 03208.gabc
Extracted 08 contours from 03210.gabc
Extracted 12 contours from 03211.gabc
Extracted 05 contours from 03212.gabc
Extracted 07 contours from 03213.gabc
Extracted 13 contours from 03214.gabc
Extracted 20 contours from 03215.gabc
Extracted 10 contours from 03216.gabc
Extracted 06 contours from 03217.gabc
Extracted 07 contours from 03218.gabc
Extracted 18 contours from 03219.gabc
Extracted 07 contours from 03220.gabc
Extracted 13 contours from 03221.gabc
Extracted 05 contours from 03222.gabc
Extracted 13 contours from 03223.gabc
Extracted 05 contours from 03224.gabc
Extracted 07 contours from 03225.gabc
Extracted 08 contours from 03325.gabc
Extracted 10 contours from 08235.gabc
Extracted 29 contours from 08749.gabc
Skipping 08754: 
Skipping 08755: 
Extracted 02 contours from 08757.gabc
Extracted 40 contours from 09174.gabc
Stored phrase contours to data/phrase-contours/liber-responsories-phrase-contours.csv
md5 checksum: a3b2898c2bd2f1c51f56c52864b8d557
Extracting random contours with mean length lamb=12.99...
Extracted 22 contours from 00376.gabc
Extracted 15 contours from 00513.gabc
Extracted 12 contours from 00606.gabc
Extracted 02 contours from 00694.gabc
Extracted 01 contours from 00716.gabc
Extracted 00 contours from 00753.gabc
Extracted 02 contours from 01065.gabc
Extracted 21 contours from 01152.gabc
Extracted 03 contours from 03016.gabc
Extracted 20 contours from 03026.gabc
Extracted 02 contours from 03049.gabc
Extracted 08 contours from 03050.gabc
Extracted 17 contours from 03051.gabc
Extracted 02 contours from 03052.gabc
Extracted 05 contours from 03053.gabc
Extracted 02 contours from 03054.gabc
Extracted 02 contours from 03055.gabc
Extracted 14 contours from 03056.gabc
Extracted 01 contours from 03057.gabc
Extracted 84 contours from 03058.gabc
Extracted 12 contours from 03059.gabc
Extracted 02 contours from 03060.gabc
Extracted 03 contours from 03061.gabc
Extracted 02 contours from 03062.gabc
Extracted 15 contours from 03063.gabc
Extracted 04 contours from 03064.gabc
Extracted 02 contours from 03065.gabc
Extracted 02 contours from 03066.gabc
Extracted 02 contours from 03067.gabc
Extracted 11 contours from 03068.gabc
Extracted 02 contours from 03069.gabc
Extracted 02 contours from 03070.gabc
Extracted 02 contours from 03071.gabc
Extracted 03 contours from 03072.gabc
Extracted 03 contours from 03073.gabc
Extracted 19 contours from 03074.gabc
Extracted 22 contours from 03075.gabc
Extracted 11 contours from 03076.gabc
Extracted 16 contours from 03077.gabc
Extracted 15 contours from 03078.gabc
Extracted 02 contours from 03079.gabc
Extracted 01 contours from 03080.gabc
Extracted 02 contours from 03081.gabc
Extracted 06 contours from 03082.gabc
Extracted 02 contours from 03083.gabc
Extracted 01 contours from 03084.gabc
Extracted 01 contours from 03085.gabc
Extracted 02 contours from 03086.gabc
Extracted 14 contours from 03087.gabc
Extracted 02 contours from 03088.gabc
Extracted 02 contours from 03089.gabc
Extracted 04 contours from 03090.gabc
Extracted 03 contours from 03091.gabc
Extracted 04 contours from 03093.gabc
Skipping 03094: File not found or no such format found for: /Users/bas/repos/papers/ISMIR2021/datasets/gregobase/gabc/03094.gabc
Extracted 02 contours from 03095.gabc
Extracted 01 contours from 03096.gabc
Extracted 01 contours from 03097.gabc
Extracted 14 contours from 03098.gabc
Extracted 02 contours from 03099.gabc
Extracted 01 contours from 03100.gabc
Extracted 01 contours from 03101.gabc
Extracted 05 contours from 03102.gabc
Extracted 02 contours from 03103.gabc
Extracted 01 contours from 03104.gabc
Extracted 09 contours from 03105.gabc
Extracted 17 contours from 03106.gabc
Extracted 02 contours from 03107.gabc
Extracted 03 contours from 03108.gabc
Extracted 02 contours from 03109.gabc
Extracted 01 contours from 03111.gabc
Extracted 20 contours from 03112.gabc
Extracted 02 contours from 03113.gabc
Extracted 00 contours from 03114.gabc
Extracted 01 contours from 03115.gabc
Extracted 01 contours from 03116.gabc
Extracted 01 contours from 03117.gabc
Extracted 03 contours from 03118.gabc
Extracted 03 contours from 03119.gabc
Extracted 11 contours from 03120.gabc
Extracted 02 contours from 03121.gabc
Extracted 03 contours from 03122.gabc
Extracted 02 contours from 03123.gabc
Extracted 12 contours from 03124.gabc
Extracted 02 contours from 03125.gabc
Extracted 02 contours from 03126.gabc
Extracted 17 contours from 03127.gabc
Extracted 02 contours from 03128.gabc
Extracted 10 contours from 03129.gabc
Extracted 19 contours from 03130.gabc
Extracted 02 contours from 03131.gabc
Extracted 01 contours from 03132.gabc
Extracted 13 contours from 03133.gabc
Extracted 15 contours from 03134.gabc
Extracted 01 contours from 03135.gabc
Extracted 15 contours from 03136.gabc
Extracted 03 contours from 03137.gabc
Extracted 21 contours from 03139.gabc
Extracted 03 contours from 03140.gabc
Extracted 02 contours from 03141.gabc
Extracted 04 contours from 03142.gabc
Extracted 02 contours from 03143.gabc
Extracted 22 contours from 03144.gabc
Extracted 12 contours from 03145.gabc
Extracted 01 contours from 03146.gabc
Extracted 02 contours from 03147.gabc
Extracted 11 contours from 03148.gabc
Extracted 19 contours from 03149.gabc
Extracted 13 contours from 03150.gabc
Extracted 03 contours from 03152.gabc
Extracted 15 contours from 03153.gabc
