,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,duration
0,-4,-4,-4,-4,-1,-1,-1,-1,0,0,0,0,-4,-4,-4,-4,6,6,6,6,5,5,5,5,11,11,11,11,10,10,10,10,6,6,6,6,1,1,1,1,-9,-9,-9,-9,-4,-4,-4,-4,-5,-5,-5,-5,4,4,4,4,7,7,7,7,15,15,15,15,23,23,23,23,16,16,16,16,11,11,11,11,2,2,2,2,-4,-4,-4,-4,-12,-12,-12,-12,-14,-14,-14,-14,-15,-15,-15,-15,-8,-8,-8,-8,25
1,-5,-5,-5,-5,-11,-11,-11,-11,-13,-13,-13,-13,-24,-24,-24,-24,-33,-33,-33,-33,-40,-40,-40,-40,-28,-28,-28,-28,-36,-36,-36,-36,-34,-34,-34,-34,-40,-40,-40,-40,-33,-33,-33,-33,-43,-43,-43,-43,-39,-39,-39,-39,-31,-31,-31,-31,-29,-29,-29,-29,-29,-29,-29,-29,-23,-23,-23,-23,-31,-31,-31,-31,-28,-28,-28,-28,-23,-23,-23,-23,-28,-28,-28,-28,-26,-26,-26,-26,-30,-30,-30,-30,-24,-24,-24,-24,-23,-23,-23,-23,25
2,3,3,3,3,0,0,0,0,1,1,1,1,-3,-3,-3,-3,8,8,8,8,13,13,13,13,23,23,23,23,35,35,35,35,44,44,44,44,41,41,41,41,38,38,38,38,40,40,40,40,47,47,47,47,35,35,35,35,34,34,34,34,22,22,22,22,28,28,28,28,24,24,24,24,24,24,24,24,22,22,22,22,18,18,18,18,8,8,8,8,5,5,5,5,15,15,15,15,8,8,8,8,25
3,-6,-6,-6,-6,4,4,4,4,-2,-2,-2,-2,5,5,5,5,17,17,17,17,23,23,23,23,12,12,12,12,4,4,4,4,0,0,0,0,5,5,5,5,-1,-1,-1,-1,-8,-8,-8,-8,-19,-19,-19,-19,-13,-13,-13,-13,-5,-5,-5,-5,6,6,6,6,16,16,16,16,15,15,15,15,23,23,23,23,16,16,16,16,14,14,14,14,10,10,10,10,1,1,1,1,-11,-11,-11,-11,-7,-7,-7,-7,25
4,9,9,9,9,20,20,20,20,29,29,29,29,28,28,28,28,32,32,32,32,28,28,28,28,22,22,22,22,20,20,20,20,13,13,13,13,18,18,18,18,21,21,21,21,22,22,22,22,17,17,17,17,16,16,16,16,19,19,19,19,27,27,27,27,34,34,34,34,44,44,44,44,49,49,49,49,41,41,41,41,29,29,29,29,25,25,25,25,34,34,34,34,26,26,26,26,25,25,25,25,25
5,2,2,2,2,8,8,8,8,5,5,5,5,0,0,0,0,5,5,5,5,11,11,11,11,0,0,0,0,3,3,3,3,5,5,5,5,-7,-7,-7,-7,-12,-12,-12,-12,-7,-7,-7,-7,-11,-11,-11,-11,-11,-11,-11,-11,-9,-9,-9,-9,-12,-12,-12,-12,-13,-13,-13,-13,-11,-11,-11,-11,-9,-9,-9,-9,-21,-21,-21,-21,-10,-10,-10,-10,-6,-6,-6,-6,3,3,3,3,2,2,2,2,-8,-8,-8,-8,25
6,9,9,9,9,7,7,7,7,12,12,12,12,19,19,19,19,26,26,26,26,15,15,15,15,11,11,11,11,10,10,10,10,20,20,20,20,32,32,32,32,35,35,35,35,34,34,34,34,23,23,23,23,22,22,22,22,15,15,15,15,10,10,10,10,14,14,14,14,11,11,11,11,14,14,14,14,19,19,19,19,12,12,12,12,2,2,2,2,6,6,6,6,4,4,4,4,8,8,8,8,25
7,-8,-8,-8,-8,2,2,2,2,9,9,9,9,14,14,14,14,15,15,15,15,11,11,11,11,4,4,4,4,1,1,1,1,10,10,10,10,2,2,2,2,8,8,8,8,3,3,3,3,-1,-1,-1,-1,-6,-6,-6,-6,1,1,1,1,-7,-7,-7,-7,-11,-11,-11,-11,-17,-17,-17,-17,-10,-10,-10,-10,2,2,2,2,-2,-2,-2,-2,0,0,0,0,9,9,9,9,14,14,14,14,21,21,21,21,25
8,7,7,7,7,-2,-2,-2,-2,1,1,1,1,-9,-9,-9,-9,1,1,1,1,-6,-6,-6,-6,-13,-13,-13,-13,-7,-7,-7,-7,-14,-14,-14,-14,-14,-14,-14,-14,-20,-20,-20,-20,-15,-15,-15,-15,-15,-15,-15,-15,-22,-22,-22,-22,-18,-18,-18,-18,-25,-25,-25,-25,-17,-17,-17,-17,-5,-5,-5,-5,2,2,2,2,-3,-3,-3,-3,-10,-10,-10,-10,-18,-18,-18,-18,-15,-15,-15,-15,-6,-6,-6,-6,0,0,0,0,25
9,10,10,10,10,12,12,12,12,0,0,0,0,-7,-7,-7,-7,4,4,4,4,-7,-7,-7,-7,-13,-13,-13,-13,-18,-18,-18,-18,-30,-30,-30,-30,-25,-25,-25,-25,-19,-19,-19,-19,-16,-16,-16,-16,-15,-15,-15,-15,-7,-7,-7,-7,-3,-3,-3,-3,-9,-9,-9,-9,-15,-15,-15,-15,-3,-3,-3,-3,-9,-9,-9,-9,-10,-10,-10,-10,-1,-1,-1,-1,4,4,4,4,13,13,13,13,10,10,10,10,2,2,2,2,25
10,-3,-3,-3,-3,-7,-7,-7,-7,0,0,0,0,-8,-8,-8,-8,2,2,2,2,-8,-8,-8,-8,-8,-8,-8,-8,-5,-5,-5,-5,-2,-2,-2,-2,6,6,6,6,1,1,1,1,10,10,10,10,-1,-1,-1,-1,6,6,6,6,7,7,7,7,18,18,18,18,10,10,10,10,19,19,19,19,24,24,24,24,30,30,30,30,37,37,37,37,35,35,35,35,29,29,29,29,27,27,27,27,28,28,28,28,25
11,-11,-11,-11,-11,-21,-21,-21,-21,-27,-27,-27,-27,-39,-39,-39,-39,-30,-30,-30,-30,-30,-30,-30,-30,-23,-23,-23,-23,-14,-14,-14,-14,-8,-8,-8,-8,-12,-12,-12,-12,-13,-13,-13,-13,-16,-16,-16,-16,-5,-5,-5,-5,2,2,2,2,6,6,6,6,-2,-2,-2,-2,1,1,1,1,1,1,1,1,11,11,11,11,1,1,1,1,12,12,12,12,9,9,9,9,16,16,16,16,5,5,5,5,10,10,10,10,25
12,-3,-3,-3,-3,-15,-15,-15,-15,-19,-19,-19,-19,-15,-15,-15,-15,-17,-17,-17,-17,-21,-21,-21,-21,-28,-28,-28,-28,-37,-37,-37,-37,-28,-28,-28,-28,-32,-32,-32,-32,-30,-30,-30,-30,-39,-39,-39,-39,-37,-37,-37,-37,-34,-34,-34,-34,-24,-24,-24,-24,-19,-19,-19,-19,-19,-19,-19,-19,-25,-25,-25,-25,-36,-36,-36,-36,-46,-46,-46,-46,-41,-41,-41,-41,-51,-51,-51,-51,-41,-41,-41,-41,-31,-31,-31,-31,-42,-42,-42,-42,25
13,-9,-9,-9,-9,-8,-8,-8,-8,-8,-8,-8,-8,-5,-5,-5,-5,2,2,2,2,3,3,3,3,3,3,3,3,-7,-7,-7,-7,-16,-16,-16,-16,-10,-10,-10,-10,-12,-12,-12,-12,-14,-14,-14,-14,-15,-15,-15,-15,-24,-24,-24,-24,-26,-26,-26,-26,-35,-35,-35,-35,-47,-47,-47,-47,-47,-47,-47,-47,-54,-54,-54,-54,-56,-56,-56,-56,-57,-57,-57,-57,-59,-59,-59,-59,-54,-54,-54,-54,-48,-48,-48,-48,-59,-59,-59,-59,25
14,10,10,10,10,0,0,0,0,2,2,2,2,4,4,4,4,9,9,9,9,9,9,9,9,0,0,0,0,2,2,2,2,5,5,5,5,15,15,15,15,22,22,22,22,19,19,19,19,7,7,7,7,-1,-1,-1,-1,-11,-11,-11,-11,-12,-12,-12,-12,-1,-1,-1,-1,8,8,8,8,17,17,17,17,24,24,24,24,21,21,21,21,26,26,26,26,22,22,22,22,25,25,25,25,28,28,28,28,25
