,duration,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
deut3773,168.0,67.0,67.0,70.0,70.0,72.0,72.0,74.0,74.0,74.0,74.0,74.0,74.0,74.0,74.0,74.0,74.0,74.0,76.0,77.0,74.0,74.0,74.0,74.0,74.0,74.0,74.0,76.0,76.0,77.0,74.0,75.0,75.0,74.0,74.0,74.0,74.0,74.0,72.0,70.0,74.0,74.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,72.0,72.0,74.0,74.0,74.0,74.0,74.0,74.0,74.0,72.0,70.0,70.0,70.0,70.0,69.0,69.0,67.0,67.0,67.0,67.0,74.0,74.0,74.0,70.0,70.0,70.0,70.0,74.0,75.0,74.0,74.0,74.0,70.0,72.0,72.0,74.0,74.0,74.0,74.0,72.0,70.0,67.0,67.0,64.0,64.0,66.0,66.0,67.0,67.0,67.0,67.0
deut3774,272.0,69.0,69.0,69.0,71.0,72.0,69.0,69.0,69.0,72.0,72.0,71.0,69.0,71.0,69.0,69.0,69.0,69.0,71.0,69.0,65.0,64.0,64.0,64.0,69.0,69.0,69.0,71.0,69.0,69.0,69.0,72.0,72.0,72.0,71.0,69.0,69.0,69.0,69.0,69.0,71.0,71.0,67.0,65.0,64.0,64.0,64.0,64.0,64.0,67.0,69.0,69.0,69.0,69.0,69.0,67.0,65.0,64.0,60.0,60.0,67.0,67.0,67.0,69.0,69.0,69.0,69.0,69.0,65.0,64.0,64.0,64.0,64.0,64.0,67.0,67.0,62.0,60.0,60.0,60.0,67.0,67.0,71.0,72.0,71.0,69.0,69.0,64.0,64.0,69.0,71.0,69.0,67.0,65.0,64.0,60.0,62.0,62.0,64.0,64.0,64.0
deut3775,34.0,74.0,74.0,74.0,74.0,74.0,74.0,74.0,74.0,74.0,74.0,74.0,74.0,74.0,74.0,74.0,74.0,74.0,74.0,74.0,74.0,74.0,74.0,74.0,74.0,77.0,77.0,77.0,74.0,74.0,74.0,74.0,74.0,74.0,74.0,74.0,74.0,74.0,74.0,74.0,74.0,74.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,77.0,77.0,77.0,77.0,77.0,77.0,76.0,76.0,76.0,76.0,76.0,76.0,74.0,74.0,74.0,74.0,74.0,77.0,77.0,77.0,76.0,76.0,76.0,76.0,76.0,76.0,74.0,74.0,74.0,72.0,72.0,72.0,72.0,72.0,72.0,71.0,71.0,71.0,69.0,69.0,69.0,69.0,69.0,69.0,69.0,69.0,69.0,69.0,69.0,69.0
deut3776,356.0,69.0,69.0,69.0,64.0,69.0,69.0,69.0,71.0,72.0,72.0,72.0,71.0,69.0,69.0,72.0,72.0,72.0,72.0,72.0,74.0,74.0,72.0,71.0,69.0,72.0,71.0,69.0,69.0,64.0,64.0,64.0,64.0,69.0,69.0,64.0,69.0,69.0,69.0,71.0,72.0,72.0,72.0,71.0,69.0,69.0,72.0,72.0,72.0,72.0,72.0,72.0,74.0,72.0,71.0,69.0,72.0,71.0,69.0,69.0,64.0,64.0,64.0,71.0,74.0,72.0,71.0,69.0,67.0,67.0,67.0,67.0,64.0,60.0,60.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,69.0,67.0,67.0,69.0,71.0,72.0,71.0,69.0,67.0,67.0,69.0,64.0,64.0,65.0,64.0,64.0,64.0,64.0,64.0
deut3777,164.0,67.0,67.0,67.0,67.0,71.0,67.0,67.0,74.0,74.0,74.0,74.0,74.0,74.0,74.0,76.0,74.0,77.0,74.0,74.0,76.0,76.0,74.0,74.0,74.0,74.0,74.0,71.0,71.0,72.0,76.0,76.0,74.0,74.0,74.0,74.0,74.0,74.0,74.0,71.0,74.0,74.0,74.0,71.0,69.0,69.0,67.0,67.0,67.0,67.0,74.0,74.0,74.0,74.0,74.0,74.0,71.0,71.0,69.0,69.0,69.0,69.0,69.0,67.0,67.0,67.0,67.0,67.0,67.0,69.0,71.0,71.0,71.0,69.0,69.0,69.0,62.0,62.0,67.0,67.0,69.0,69.0,71.0,69.0,72.0,74.0,74.0,74.0,74.0,74.0,74.0,71.0,69.0,71.0,69.0,69.0,69.0,67.0,67.0,67.0,67.0
deut3778,54.0,64.0,64.0,64.0,64.0,64.0,64.0,69.0,69.0,69.0,69.0,69.0,67.0,67.0,69.0,69.0,69.0,69.0,71.0,71.0,72.0,72.0,72.0,71.0,71.0,69.0,69.0,69.0,69.0,69.0,69.0,67.0,67.0,65.0,64.0,64.0,69.0,69.0,69.0,69.0,67.0,65.0,64.0,64.0,64.0,69.0,71.0,72.0,72.0,71.0,71.0,69.0,69.0,67.0,67.0,67.0,67.0,69.0,64.0,64.0,64.0,64.0,62.0,62.0,60.0,60.0,60.0,60.0,60.0,67.0,67.0,67.0,67.0,65.0,65.0,64.0,64.0,65.0,67.0,67.0,69.0,69.0,71.0,71.0,69.0,69.0,67.0,67.0,67.0,69.0,69.0,65.0,65.0,65.0,65.0,65.0,65.0,64.0,64.0,64.0,64.0
deut3779,32.0,59.0,59.0,59.0,59.0,59.0,64.0,64.0,64.0,64.0,64.0,66.0,67.0,67.0,67.0,66.0,66.0,66.0,66.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,71.0,71.0,71.0,71.0,71.0,69.0,69.0,69.0,69.0,69.0,69.0,71.0,71.0,71.0,69.0,69.0,69.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,74.0,74.0,74.0,74.0,74.0,67.0,67.0,67.0,67.0,67.0,67.0,72.0,72.0,72.0,71.0,71.0,71.0,69.0,69.0,69.0,69.0,69.0,69.0,69.0,69.0,62.0,62.0,62.0,62.0,67.0,67.0,69.0,71.0,71.0,69.0,69.0,67.0,67.0,67.0,66.0,66.0,66.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0
deut3780,36.0,60.0,60.0,60.0,57.0,57.0,57.0,58.0,58.0,58.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,62.0,62.0,62.0,60.0,60.0,58.0,58.0,58.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,60.0,60.0,60.0,58.0,58.0,58.0,57.0,57.0,57.0,55.0,55.0,53.0,53.0,53.0,55.0,55.0,55.0,57.0,57.0,57.0,58.0,58.0,60.0,60.0,60.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,63.0,63.0,63.0,62.0,62.0,62.0,60.0,60.0,60.0,60.0,60.0,62.0,62.0,62.0,60.0,60.0,60.0,57.0,57.0,58.0,58.0,58.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0
deut3781,90.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,72.0,72.0,71.0,71.0,71.0,71.0,71.0,69.0,69.0,72.0,72.0,74.0,74.0,71.0,71.0,69.0,69.0,69.0,69.0,69.0,76.0,76.0,74.0,74.0,74.0,74.0,74.0,74.0,74.0,71.0,71.0,71.0,71.0,71.0,71.0,72.0,72.0,74.0,74.0,74.0,71.0,71.0,69.0,69.0,69.0,69.0,67.0,67.0,71.0,71.0,71.0,71.0,71.0,72.0,72.0,74.0,74.0,74.0,74.0,76.0,76.0,76.0,74.0,74.0,72.0,71.0,69.0,69.0,67.0,67.0,67.0,67.0,67.0,69.0,69.0,74.0,74.0,74.0,74.0,72.0,72.0,71.0,71.0,71.0,71.0,71.0,69.0,69.0,67.0,67.0,67.0,67.0,67.0
deut3782,64.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,67.0,67.0,69.0,69.0,69.0,69.0,69.0,69.0,65.0,65.0,65.0,65.0,65.0,64.0,62.0,62.0,62.0,67.0,67.0,67.0,67.0,69.0,67.0,67.0,65.0,64.0,64.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,64.0,64.0,64.0,67.0,67.0,67.0,69.0,69.0,69.0,67.0,67.0,65.0,64.0,64.0,62.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,69.0,69.0,69.0,65.0,64.0,64.0,62.0,61.0,61.0,62.0,62.0,62.0,65.0,65.0,64.0,62.0,62.0,61.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0
