,duration,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
choct01,61.0,61.0,58.0,58.0,61.0,61.0,61.0,58.0,61.0,58.0,56.0,57.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,63.0,58.0,58.0,61.0,61.0,58.0,61.0,58.0,56.0,56.0,58.0,58.0,68.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,61.0,58.0,58.0,61.0,61.0,61.0,58.0,58.0,56.0,56.0,56.0,58.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,58.0,58.0,61.0,61.0,58.0,56.0,56.0,56.0,58.0,58.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,58.0,58.0,61.0,61.0,58.0,56.0,56.0,56.0,58.0,58.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0
choct03,78.25,58.0,57.0,53.0,57.0,57.0,57.0,55.0,53.0,53.0,53.0,53.0,55.0,50.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,60.0,57.0,53.0,60.0,53.0,55.0,53.0,50.0,53.0,53.0,55.0,50.0,53.0,53.0,53.0,53.0,50.0,53.0,53.0,53.0,60.0,57.0,53.0,60.0,53.0,57.0,55.0,53.0,53.0,53.0,55.0,53.0,50.0,53.0,53.0,53.0,50.0,53.0,53.0,53.0,60.0,57.0,53.0,60.0,53.0,53.0,57.0,57.0,55.0,53.0,50.0,53.0,53.0,55.0,50.0,53.0,53.0,53.0,53.0,50.0,53.0,53.0,53.0,57.0,55.0,53.0,53.0,53.0,55.0,53.0,50.0,53.0,53.0,53.0,50.0,53.0,53.0,53.0,53.0
choct04,106.0,57.0,54.0,57.0,57.0,54.0,54.0,52.0,52.0,54.0,52.0,52.0,59.0,59.0,59.0,57.0,54.0,52.0,52.0,52.0,54.0,52.0,52.0,54.0,59.0,57.0,54.0,54.0,52.0,52.0,52.0,54.0,54.0,52.0,52.0,59.0,59.0,54.0,52.0,54.0,59.0,59.0,57.0,54.0,59.0,54.0,57.0,54.0,54.0,57.0,54.0,52.0,52.0,52.0,54.0,52.0,52.0,57.0,59.0,57.0,54.0,54.0,52.0,52.0,52.0,54.0,54.0,52.0,57.0,54.0,57.0,57.0,54.0,52.0,52.0,52.0,54.0,52.0,52.0,59.0,59.0,57.0,54.0,54.0,52.0,52.0,52.0,54.0,54.0,52.0,54.0,59.0,57.0,54.0,54.0,52.0,52.0,52.0,52.0,54.0,52.0
choct05,33.75,56.0,56.0,53.0,58.0,58.0,58.0,60.0,58.0,58.0,56.0,56.0,56.0,51.0,56.0,56.0,51.0,53.0,53.0,53.0,51.0,51.0,51.0,51.0,51.0,51.0,53.0,56.0,56.0,53.0,53.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,54.0,54.0,54.0,51.0,51.0,51.0,51.0,51.0,51.0,63.0,63.0,63.0,63.0,63.0,63.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,56.0,56.0,53.0,56.0,56.0,51.0,53.0,53.0,53.0,51.0,51.0,51.0,51.0,51.0,51.0,53.0,53.0,56.0,53.0,53.0,53.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,54.0,54.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0
choct06,50.0,77.0,77.0,77.0,77.0,77.0,77.0,77.0,77.0,77.0,74.0,65.0,70.0,74.0,74.0,74.0,74.0,70.0,67.0,65.0,70.0,74.0,72.0,72.0,72.0,72.0,72.0,70.0,74.0,67.0,67.0,67.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,74.0,70.0,74.0,70.0,74.0,70.0,69.0,65.0,70.0,69.0,65.0,70.0,74.0,74.0,74.0,72.0,72.0,72.0,72.0,72.0,67.0,67.0,67.0,70.0,70.0,70.0,72.0,72.0,65.0,67.0,67.0,70.0,70.0,70.0,72.0,72.0,65.0,67.0,67.0,77.0,77.0,74.0,74.0,72.0,70.0,70.0,70.0,72.0,70.0,70.0,72.0,72.0,70.0,70.0,72.0,74.0,60.0,70.0,70.0,70.0,70.0
choct07a,48.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,59.0,57.0,57.0,57.0,57.0,59.0,59.0,57.0,57.0,56.0,57.0,56.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,59.0,59.0,57.0,59.0,57.0,59.0,57.0,57.0,57.0,57.0,57.0,59.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,59.0,57.0,59.0,57.0,57.0,57.0,59.0,57.0,57.0,57.0,57.0,57.0,61.0,59.0,57.0,61.0,59.0,57.0,57.0,59.0,57.0,57.0,57.0,59.0,57.0,57.0,57.0,57.0,61.0,59.0,57.0,61.0,59.0,57.0,57.0,59.0,57.0,57.0,57.0,59.0,57.0,57.0,57.0,57.0
choct07b,26.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,59.0,59.0,57.0,57.0,57.0,55.0,55.0,55.0,57.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,59.0,57.0,57.0,57.0,57.0,55.0,55.0,57.0,57.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,59.0,59.0,57.0,57.0,57.0,55.0,55.0,55.0,57.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0
choct08,104.0,57.0,59.0,57.0,57.0,57.0,54.0,52.0,52.0,57.0,59.0,57.0,57.0,57.0,52.0,52.0,52.0,61.0,57.0,59.0,59.0,57.0,52.0,52.0,57.0,59.0,57.0,57.0,57.0,54.0,52.0,52.0,59.0,57.0,59.0,59.0,57.0,57.0,57.0,57.0,57.0,52.0,52.0,57.0,59.0,59.0,59.0,59.0,57.0,52.0,52.0,59.0,57.0,57.0,57.0,57.0,52.0,52.0,52.0,57.0,57.0,59.0,59.0,57.0,52.0,52.0,59.0,57.0,57.0,57.0,57.0,52.0,52.0,52.0,59.0,57.0,59.0,59.0,57.0,57.0,57.0,57.0,54.0,52.0,52.0,57.0,57.0,59.0,59.0,59.0,57.0,57.0,57.0,59.0,57.0,57.0,57.0,57.0,52.0,52.0,52.0
choct09,23.0,55.0,55.0,55.0,55.0,55.0,57.0,57.0,57.0,57.0,57.0,57.0,55.0,55.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,50.0,50.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,57.0,57.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0
choct10,25.0,74.0,74.0,74.0,74.0,52.0,52.0,52.0,52.0,54.0,54.0,52.0,52.0,54.0,54.0,54.0,56.0,54.0,54.0,54.0,54.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,49.0,49.0,49.0,52.0,52.0,52.0,52.0,49.0,49.0,52.0,52.0,52.0,52.0,52.0,52.0,54.0,54.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,54.0,54.0,52.0,52.0,54.0,54.0,54.0,56.0,54.0,54.0,54.0,54.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,49.0,49.0,49.0,52.0,52.0,52.0,52.0,49.0,49.0,52.0,52.0,52.0,52.0,52.0,52.0,54.0,54.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0
