,duration,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
nootka001,94.0,61.0,61.0,61.0,61.0,61.0,60.0,60.0,61.0,61.0,61.0,61.0,60.0,60.0,58.0,58.0,58.0,58.0,58.0,58.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,42.0,42.0,60.0,42.0,42.0,42.0,60.0,42.0,42.0,60.0,42.0,42.0,59.0,42.0,42.0,60.0,42.0,42.0,59.0,42.0,42.0,61.0,60.0,42.0,42.0,42.0,42.0,60.0,60.0,42.0,42.0,42.0,60.0,42.0,60.0,42.0,42.0,59.0,42.0,42.0,61.0,42.0,42.0,59.0,42.0,42.0,61.0,60.0,60.0,42.0,42.0,61.0,61.0,61.0,61.0,60.0,60.0,60.0,60.0,58.0,58.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0
nootka002,47.0,56.0,56.0,56.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,44.0,44.0,44.0,44.0,57.0,57.0,44.0,44.0,44.0,44.0,44.0,57.0,57.0,44.0,44.0,44.0,44.0,57.0,57.0,44.0,44.0,44.0,44.0,57.0,57.0,44.0,44.0,44.0,44.0,44.0,57.0,57.0,44.0,44.0,44.0,44.0,57.0,57.0,57.0,57.0,44.0,44.0,57.0,57.0,44.0,44.0,44.0,44.0,44.0,57.0,57.0,44.0,44.0,44.0,44.0,57.0,57.0,44.0,44.0,57.0,57.0,57.0,57.0,44.0,44.0,44.0,44.0,44.0,57.0,57.0,44.0,44.0,44.0,44.0,57.0,57.0,44.0,44.0,44.0,44.0,57.0,57.0,44.0,44.0,44.0,44.0,44.0
nootka003,45.0,54.0,54.0,57.0,43.0,43.0,43.0,43.0,55.0,43.0,57.0,43.0,57.0,43.0,43.0,43.0,43.0,55.0,43.0,43.0,43.0,50.0,43.0,50.0,43.0,43.0,43.0,55.0,55.0,43.0,43.0,43.0,50.0,43.0,55.0,43.0,43.0,43.0,43.0,55.0,43.0,55.0,43.0,57.0,43.0,57.0,43.0,43.0,43.0,57.0,57.0,43.0,43.0,43.0,54.0,43.0,57.0,43.0,43.0,43.0,54.0,54.0,43.0,54.0,43.0,43.0,43.0,50.0,43.0,43.0,43.0,43.0,54.0,43.0,54.0,43.0,43.0,43.0,50.0,43.0,43.0,43.0,43.0,54.0,43.0,54.0,54.0,54.0,43.0,55.0,43.0,43.0,43.0,43.0,43.0,43.0,55.0,43.0,43.0,43.0,43.0
nootka004,53.25,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,56.0,55.0,54.0,54.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,54.0,54.0,54.0,54.0,53.0,52.0,51.0,51.0,51.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,50.0,50.0,50.0,50.0,50.0,54.0,54.0,55.0,57.0,57.0,55.0,55.0,54.0,54.0,54.0,54.0,57.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,54.0,54.0,54.0,57.0,55.0,55.0,55.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,55.0,55.0,55.0,55.0,54.0,54.0,54.0,54.0,52.0,54.0,54.0,54.0,54.0,54.0,54.0
nootka005,38.5,56.0,56.0,57.0,57.0,57.0,57.0,57.0,57.0,56.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,59.0,57.0,57.0,57.0,57.0,57.0,57.0,56.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,59.0,59.0,59.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,59.0,57.0,57.0,57.0,57.0,57.0,57.0,56.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,59.0,59.0,59.0,59.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0
nootka006,27.25,55.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,58.0,56.0,56.0,56.0,56.0,56.0,56.0,55.0,55.0,55.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,55.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,58.0,58.0,56.0,56.0,56.0,56.0,55.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0
nootka007,37.5,56.0,56.0,57.0,57.0,57.0,57.0,57.0,59.0,57.0,56.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,56.0,57.0,57.0,57.0,57.0,57.0,59.0,57.0,56.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,59.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,56.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,59.0,57.0,57.0,57.0,57.0,57.0,57.0,56.0,57.0,57.0,57.0,57.0,56.0,57.0,57.0,57.0,57.0,57.0,57.0
nootka008,97.5,53.0,53.0,55.0,55.0,55.0,55.0,55.0,53.0,55.0,55.0,55.0,55.0,53.0,53.0,53.0,53.0,53.0,55.0,55.0,55.0,55.0,53.0,53.0,55.0,53.0,53.0,53.0,53.0,53.0,53.0,55.0,51.0,53.0,55.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,51.0,51.0,53.0,51.0,51.0,53.0,53.0,55.0,55.0,55.0,55.0,55.0,51.0,53.0,55.0,55.0,55.0,53.0,51.0,53.0,53.0,53.0,53.0,55.0,55.0,55.0,55.0,53.0,53.0,55.0,53.0,55.0,53.0,53.0,53.0,55.0,51.0,53.0,55.0,53.0,53.0,53.0,51.0,51.0,53.0,53.0,53.0,53.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,55.0,55.0,55.0
nootka009,44.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,54.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,56.0,57.0,57.0,57.0,57.0,57.0,59.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,56.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,56.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,56.0,57.0,57.0,57.0,57.0,59.0,59.0,57.0,57.0,56.0,57.0,57.0,57.0,57.0,57.0,57.0,59.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0
nootka010,45.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,55.0,55.0,43.0,55.0,43.0,43.0,53.0,43.0,51.0,51.0,51.0,43.0,53.0,43.0,55.0,43.0,43.0,55.0,53.0,53.0,43.0,43.0,43.0,51.0,43.0,51.0,51.0,51.0,51.0,53.0,53.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,55.0,43.0,43.0,53.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,55.0,55.0,55.0,55.0,43.0,53.0,43.0,43.0,43.0,51.0,43.0,51.0,43.0,43.0,51.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0
nootka011,60.0,57.0,57.0,57.0,57.0,55.0,53.0,57.0,55.0,55.0,53.0,55.0,57.0,55.0,53.0,53.0,53.0,53.0,55.0,57.0,57.0,57.0,55.0,57.0,53.0,55.0,53.0,53.0,53.0,57.0,57.0,57.0,57.0,55.0,53.0,57.0,55.0,55.0,53.0,55.0,58.0,55.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,55.0,55.0,55.0,57.0,55.0,55.0,57.0,55.0,55.0,53.0,55.0,58.0,55.0,53.0,53.0,53.0,53.0,55.0,57.0,57.0,57.0,55.0,57.0,53.0,55.0,53.0,53.0,53.0,60.0,57.0,53.0,57.0,55.0,55.0,55.0,55.0,55.0,53.0,55.0,55.0,53.0,55.0,55.0,55.0,55.0,55.0,55.0,53.0,53.0
nootka012,40.5,55.0,55.0,55.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,57.0,55.0,55.0,54.0,54.0,55.0,55.0,55.0,55.0,58.0,57.0,57.0,57.0,57.0,57.0,57.0,58.0,57.0,57.0,54.0,57.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,50.0,50.0,50.0,50.0,50.0,54.0,54.0,57.0,54.0,54.0,54.0,54.0,54.0,57.0,54.0,54.0,54.0,52.0,50.0,54.0,54.0,54.0,52.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,57.0,57.0,57.0,54.0,52.0,54.0,54.0,52.0,50.0,50.0,54.0,54.0,52.0,54.0,54.0,54.0,54.0,54.0,54.0,58.0,54.0,54.0,54.0,54.0,54.0
nootka013,72.5,43.0,43.0,43.0,43.0,43.0,43.0,57.0,43.0,43.0,43.0,43.0,60.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,60.0,43.0,43.0,43.0,43.0,43.0,53.0,43.0,43.0,43.0,43.0,43.0,57.0,43.0,43.0,43.0,43.0,53.0,43.0,43.0,43.0,43.0,43.0,43.0,57.0,43.0,43.0,43.0,43.0,43.0,43.0,57.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,57.0,43.0,43.0,43.0,43.0,43.0,60.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,60.0,43.0,43.0,43.0,43.0,57.0,43.0,43.0,43.0,53.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0
nootka014,34.25,59.0,59.0,59.0,59.0,59.0,56.0,59.0,59.0,59.0,56.0,52.0,59.0,59.0,59.0,56.0,59.0,59.0,56.0,56.0,52.0,52.0,52.0,52.0,56.0,59.0,59.0,56.0,56.0,56.0,59.0,56.0,56.0,52.0,52.0,59.0,59.0,56.0,52.0,56.0,56.0,56.0,56.0,52.0,52.0,56.0,52.0,56.0,59.0,59.0,56.0,56.0,56.0,56.0,56.0,56.0,52.0,52.0,52.0,59.0,56.0,52.0,52.0,56.0,56.0,56.0,52.0,52.0,56.0,52.0,56.0,56.0,59.0,59.0,59.0,56.0,59.0,59.0,59.0,59.0,52.0,52.0,59.0,59.0,59.0,59.0,59.0,56.0,56.0,52.0,52.0,52.0,52.0,52.0,59.0,52.0,52.0,52.0,52.0,52.0,52.0
