,duration,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
deut1242,40.0,65.0,65.0,65.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,74.0,74.0,74.0,74.0,74.0,74.0,74.0,72.0,72.0,74.0,75.0,75.0,74.0,74.0,74.0,74.0,72.0,70.0,74.0,74.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,74.0,77.0,77.0,75.0,75.0,74.0,74.0,74.0,72.0,74.0,72.0,70.0,69.0,69.0,69.0,65.0,65.0,65.0,65.0,65.0,65.0,69.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,70.0,72.0,75.0,75.0,75.0,74.0,74.0,74.0,74.0,74.0,72.0,74.0,75.0,75.0,75.0,74.0,74.0,70.0,70.0,70.0,72.0,72.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0
deut1524,104.0,60.0,64.0,65.0,64.0,62.0,60.0,59.0,60.0,62.0,62.0,62.0,62.0,60.0,64.0,65.0,64.0,62.0,60.0,60.0,59.0,60.0,60.0,60.0,60.0,64.0,65.0,64.0,62.0,60.0,59.0,60.0,62.0,62.0,62.0,62.0,60.0,64.0,65.0,64.0,62.0,60.0,59.0,60.0,60.0,60.0,60.0,62.0,60.0,59.0,60.0,62.0,64.0,62.0,62.0,62.0,60.0,59.0,60.0,62.0,64.0,62.0,60.0,64.0,65.0,64.0,62.0,60.0,60.0,59.0,60.0,60.0,60.0,60.0,62.0,60.0,59.0,60.0,62.0,64.0,62.0,62.0,60.0,59.0,60.0,62.0,64.0,62.0,62.0,60.0,64.0,65.0,64.0,62.0,60.0,60.0,59.0,60.0,60.0,60.0,60.0
deut1530,48.0,62.0,62.0,67.0,67.0,67.0,69.0,71.0,71.0,74.0,74.0,71.0,71.0,69.0,71.0,67.0,67.0,67.0,69.0,71.0,71.0,74.0,74.0,76.0,76.0,74.0,74.0,69.0,69.0,69.0,74.0,74.0,74.0,74.0,62.0,62.0,67.0,67.0,67.0,69.0,71.0,71.0,74.0,74.0,74.0,72.0,71.0,69.0,71.0,71.0,71.0,74.0,76.0,76.0,74.0,72.0,71.0,69.0,67.0,71.0,69.0,69.0,69.0,69.0,67.0,67.0,67.0,67.0,67.0,71.0,71.0,71.0,69.0,67.0,67.0,69.0,69.0,71.0,69.0,71.0,72.0,74.0,74.0,74.0,74.0,76.0,76.0,74.0,72.0,71.0,69.0,67.0,71.0,69.0,69.0,69.0,69.0,67.0,67.0,67.0,67.0
deut2039,46.0,65.0,65.0,67.0,69.0,70.0,72.0,72.0,77.0,77.0,74.0,74.0,72.0,72.0,74.0,72.0,70.0,69.0,70.0,72.0,72.0,67.0,67.0,65.0,65.0,65.0,65.0,65.0,67.0,69.0,69.0,70.0,72.0,72.0,77.0,77.0,74.0,74.0,72.0,72.0,74.0,72.0,69.0,70.0,70.0,72.0,72.0,67.0,67.0,65.0,65.0,65.0,65.0,64.0,65.0,67.0,69.0,70.0,70.0,69.0,67.0,65.0,64.0,65.0,67.0,69.0,70.0,70.0,69.0,69.0,67.0,67.0,67.0,67.0,67.0,65.0,67.0,69.0,70.0,72.0,72.0,77.0,77.0,74.0,74.0,72.0,72.0,72.0,74.0,70.0,69.0,70.0,72.0,72.0,67.0,67.0,65.0,65.0,65.0,65.0,65.0
deut1256,48.0,62.0,62.0,62.0,71.0,71.0,71.0,69.0,67.0,66.0,67.0,71.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,66.0,69.0,69.0,69.0,67.0,66.0,69.0,74.0,72.0,71.0,71.0,71.0,71.0,71.0,71.0,67.0,67.0,69.0,71.0,71.0,71.0,74.0,72.0,71.0,69.0,67.0,64.0,64.0,64.0,64.0,64.0,72.0,71.0,69.0,62.0,62.0,62.0,67.0,66.0,69.0,76.0,74.0,71.0,71.0,71.0,71.0,71.0,71.0,67.0,67.0,69.0,71.0,71.0,71.0,74.0,72.0,71.0,69.0,67.0,64.0,64.0,64.0,64.0,64.0,72.0,71.0,69.0,62.0,62.0,62.0,67.0,66.0,69.0,76.0,74.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0
deut1518,28.0,69.0,69.0,69.0,69.0,69.0,69.0,69.0,69.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,67.0,67.0,67.0,70.0,70.0,70.0,70.0,69.0,69.0,69.0,69.0,69.0,67.0,67.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,67.0,67.0,67.0,69.0,69.0,69.0,69.0,69.0,69.0,69.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,67.0,67.0,67.0,67.0,70.0,70.0,70.0,69.0,69.0,69.0,69.0,69.0,69.0,67.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0
deut0606,28.0,62.0,62.0,62.0,62.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,74.0,74.0,74.0,71.0,71.0,69.0,69.0,67.0,67.0,67.0,69.0,69.0,69.0,69.0,69.0,69.0,71.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,74.0,74.0,74.0,71.0,71.0,71.0,71.0,71.0,71.0,71.0,71.0,71.0,71.0,71.0,74.0,74.0,74.0,74.0,69.0,69.0,69.0,69.0,69.0,69.0,69.0,69.0,69.0,69.0,74.0,74.0,72.0,72.0,71.0,71.0,71.0,71.0,71.0,71.0,71.0,69.0,69.0,69.0,69.0,69.0,69.0,69.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0
deut2011,96.0,62.0,62.0,67.0,69.0,71.0,72.0,74.0,76.0,74.0,74.0,76.0,74.0,72.0,71.0,71.0,71.0,71.0,62.0,67.0,69.0,71.0,72.0,74.0,74.0,74.0,74.0,76.0,74.0,72.0,71.0,74.0,74.0,74.0,74.0,74.0,71.0,74.0,76.0,74.0,74.0,72.0,72.0,72.0,72.0,69.0,74.0,72.0,72.0,71.0,71.0,74.0,71.0,74.0,76.0,74.0,74.0,72.0,72.0,72.0,69.0,69.0,74.0,74.0,74.0,74.0,74.0,74.0,74.0,71.0,74.0,76.0,74.0,74.0,72.0,72.0,72.0,72.0,69.0,74.0,72.0,72.0,71.0,71.0,74.0,71.0,74.0,76.0,74.0,74.0,72.0,72.0,72.0,69.0,69.0,74.0,74.0,67.0,67.0,67.0,67.0
deut2005,12.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,69.0,69.0,71.0,71.0,71.0,71.0,72.0,72.0,72.0,72.0,74.0,74.0,74.0,74.0,71.0,71.0,71.0,71.0,72.0,72.0,72.0,72.0,74.0,74.0,74.0,74.0,71.0,71.0,71.0,71.0,71.0,72.0,72.0,72.0,72.0,74.0,74.0,74.0,74.0,74.0,74.0,74.0,74.0,67.0,67.0,71.0,71.0,71.0,71.0,71.0,71.0,69.0,69.0,69.0,69.0,67.0,67.0,71.0,71.0,71.0,71.0,71.0,71.0,71.0,69.0,69.0,69.0,69.0,67.0,67.0,71.0,71.0,74.0,74.0,74.0,74.0,72.0,72.0,72.0,72.0,71.0,71.0,71.0,71.0,69.0,69.0,69.0,69.0,69.0,69.0,69.0,69.0,69.0
deut0612,48.0,63.0,63.0,63.0,63.0,63.0,68.0,68.0,68.0,65.0,65.0,65.0,65.0,65.0,63.0,63.0,63.0,63.0,63.0,68.0,68.0,68.0,68.0,70.0,70.0,70.0,70.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,68.0,68.0,67.0,67.0,67.0,65.0,67.0,67.0,68.0,68.0,70.0,70.0,70.0,70.0,72.0,72.0,72.0,72.0,65.0,65.0,65.0,67.0,68.0,68.0,65.0,65.0,67.0,67.0,60.0,60.0,60.0,60.0,68.0,68.0,68.0,67.0,67.0,67.0,65.0,67.0,67.0,68.0,68.0,70.0,70.0,70.0,70.0,72.0,72.0,72.0,70.0,68.0,68.0,65.0,65.0,67.0,67.0,64.0,64.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0
